"id","year","EMPL","AV","STAF","TURN","TOAS","nacerev1primarycode","year_inc","industry_code","industry","industry_factor"
"PL4869",1998,86,580,323,2724,1987,1711,"1986",17,1,"manufacturing"
"PL4877",2000,124,552,653,6938,1774,5155,"1955",51,2,"services"
"PL4879",2001,1322,11909,11704,32272,22390,2652,"1910",26,1,"manufacturing"
"PL4879",1997,1385,11225,8314,36413,22889,2652,"1910",26,1,"manufacturing"
"PL4879",1999,1327,14949,11108,34674,19356,2652,"1910",26,1,"manufacturing"
"PL4880",1997,155,1296,615,5086,1772,4521,"1991",45,1,"manufacturing"
"PL4880",1998,161,1377,715,5615,1300,4521,"1991",45,1,"manufacturing"
"PL4880",2000,99,664,578,2266,2350,4521,"1991",45,1,"manufacturing"
"PL4880",1999,127,908,770,5753,2551,4521,"1991",45,1,"manufacturing"
"PL4881",1999,102,2943,959,4610,3443,7230,"1965",72,2,"services"
"PL4881",1998,100,2386,706,5046,3289,7230,"1965",72,2,"services"
"PL4881",1997,85,2178,592,4270,2678,7230,"1965",72,2,"services"
"PL4884",1997,491,3598,2188,17004,11187,2222,"1991",22,1,"manufacturing"
"PL4884",1996,400,3998,2025,16085,8836,2222,"1991",22,1,"manufacturing"
"PL4893",1998,103,240,940,6239,33731,2924,"1981",29,1,"manufacturing"
"PL4895",1998,365,1610,1387,7485,4580,3420,"1962",34,1,"manufacturing"
"PL4895",2000,305,1072,1522,9598,4311,3420,"1962",34,1,"manufacturing"
"PL4895",1999,324,1642,1456,7967,4045,3420,"1962",34,1,"manufacturing"
"PL4899",2000,75,662,493,6841,1400,5170,"1950",51,2,"services"
"PL4899",2001,75,690,546,7631,1439,5170,"1950",51,2,"services"
"PL4901",2000,149,840,913,1720,976,7420,"1949",74,2,"services"
"PL4909",1997,986,4159,1694,11078,11917,3430,"1991",34,1,"manufacturing"
"PL4910",1997,732,4099,2912,13449,7713,4533,"1991",45,1,"manufacturing"
"PL4910",1998,604,4066,3841,15798,7902,4533,"1991",45,1,"manufacturing"
"PL4924",1999,163,1076,969,3215,2241,7020,"",70,2,"services"
"PL4924",1997,186,1067,756,4065,885,7020,"",70,2,"services"
"PL4924",1996,185,935,786,3999,918,7020,"",70,2,"services"
"PL4934",1998,1064,6539,4522,21508,12866,1711,"1877",17,1,"manufacturing"
"PL4934",2001,728,5717,3994,17107,12458,1711,"1877",17,1,"manufacturing"
"PL4934",1999,803,5379,3965,15519,11421,1711,"1877",17,1,"manufacturing"
"PL4934",2000,728,5474,3861,16591,11798,1711,"1877",17,1,"manufacturing"
"PL4938",2001,516,8952,3826,25925,19814,1583,"1992",15,1,"manufacturing"
"PL4938",2000,516,6951,3287,23991,17019,1583,"1992",15,1,"manufacturing"
"PL4939",1999,177,2657,1530,45085,14397,5157,"",51,2,"services"
"PL4939",1998,187,2726,1356,56379,12955,5157,"",51,2,"services"
"PL4939",1996,324,666,1643,36751,11638,5157,"",51,2,"services"
"PL4939",2000,177,3360,1510,60200,15316,5157,"",51,2,"services"
"PL4939",1997,198,2490,1344,37752,11352,5157,"",51,2,"services"
"PL4940",1996,242,1262,1234,3929,3684,4521,"1991",45,1,"manufacturing"
"PL4943",2000,419,7240,2612,33846,17286,1596,"1992",15,1,"manufacturing"
"PL4943",1999,419,6114,2249,24219,12468,1596,"1992",15,1,"manufacturing"
"PL4943",1997,420,2997,1663,13084,8366,1596,"1992",15,1,"manufacturing"
"PL4943",1998,416,5160,1857,19466,10042,1596,"1992",15,1,"manufacturing"
"PL4950",1997,90,323,413,935,847,7470,"1991",74,2,"services"
"PL4950",1999,8370,15971,14365,21018,32121,7470,"1991",74,2,"services"
"PL4950",1998,21,477,240,419,567,7470,"1991",74,2,"services"
"PL4950",2001,11688,25776,20143,48204,36519,7470,"1991",74,2,"services"
"PL4950",2000,11688,42347,36012,56317,37515,7470,"1991",74,2,"services"
"PL4958",1999,19,295,305,4484,3512,5170,"1991",51,2,"services"
"PL4958",1997,13,466,152,5760,2559,5170,"1991",51,2,"services"
"PL4966",2000,723,5482,6937,45853,30890,3520,"1951",35,1,"manufacturing"
"PL4966",1999,649,1428,2350,15635,24954,3520,"1951",35,1,"manufacturing"
"PL4966",2001,700,11460,6912,72256,50668,3520,"1951",35,1,"manufacturing"
"PL4977",1997,366,1435,1160,7476,3077,4521,"1970",45,1,"manufacturing"
"PL4977",2001,364,2375,2051,12416,6943,4521,"1970",45,1,"manufacturing"
"PL4977",2000,364,2141,1737,11825,5344,4521,"1970",45,1,"manufacturing"
"PL4978",1997,73,536,257,2502,3024,4030,"1992",40,1,"manufacturing"
