year	id	EMPL	AV	STAF	TURN	TOAS
1993	PL4617			5556	27464	13589
1993	PL4618				22739	8205
1993	PL4619				15354	11653
1993	PL4650			3891	60525	34045
1993	PL4652				39277	48924
1993	PL4655		3309	2136	10821	5041
1993	PL4669			1172	13415	4773
1993	PL4678		3941	3904	13711	10823
1993	PL4688		5835	5600	16895	18512
1993	PL4698				28242	12720
1993	PL4711		24656	11798	34150	25364
1993	PL4715			1275	24190	14682
1993	PL4720				16365	13983
1993	PL4722		5072	3028	11318	5600
1993	PL4724			3378	17915	22354
1993	PL4738				8570	5366
1993	PL4748				11313	2600
1993	PL4767				61259	31242
1993	PL4855				10820	15717
1993	PL4862		2486	1532	6213	9061
1993	PL4863				7471	2114
1993	PL4866				32532	12623
1993	PL4870				12649	19916
1993	PL4871				18060	14098
1993	PL4877		1188	492	11071	2850
1993	PL4893			3016	7244	56094
1993	PL4895		2113	1801	4979	7162
1993	PL4896				14700	
1993	PL4903		2155	883	5544	3766
1993	PL4909			558	7116	3553
1993	PL4911		5573	4570	32408	9554
1993	PL4915			1798	11994	3824
1993	PL4934		5940	4236	14508	12048
1993	PL4938		6408	2496	17207	22301
1993	PL4939			1876	10416	8790
1993	PL4943		14930	1709	18448	9207
1993	PL4965		5965	2838	18427	17613
1993	PL4966				31560	36930
1993	PL4972				9811	2891
1993	PL4976			8504	26772	30487
1993	PL4988		1484	800	12510	9538
1993	PL4992			922	3491	1228
1993	PL5018				15342	
1993	PL5031				8631	
1993	PL5062				26518	
1993	PL5064				20451	23495
1993	PL5100			2800	10040	7790
1993	PL5120				8688	30383
1993	PL5127		8891	4665	17834	
1993	PL5128			1894	11663	8012
1993	PL5159		15518	7980	28444	18514
1993	PL5169				68552	107120
1993	PL5176				13482	7894
1993	PL5179				15359	4032
1993	PL5182				56972	
1993	PL5183					
1993	PL5188		3955	2935	17387	4995
1993	PL5190				4726	3490
1993	PL5191		4426	3012	11475	8297
1993	PL5245		9204	6685	18611	14708
1993	PL5283				14281	12258
1993	PL5298			2312	13292	5099
1993	PL5322		5025	3918	9262	9088
1993	PL5326				4711	8339
1993	PL5327		2038	841	10870	3326
1993	PL5358			1680	10343	9857
1993	PL5368			1816	6582	3992
1993	PL5372		7300	4435	19298	25307
1993	PL5405				50693	
1993	PL5417				3299	1717
1993	PL5433				8301	8475
1993	PL5437				5076	1337
1993	PL5441			2716	9630	7319
1993	PL5443				18516	13679
1993	PL5449			1488	9040	5140
1993	PL5456				22204	10257
1993	PL5474			3277	11318	20908
1993	PL5493			5577	14817	6637
1993	PL5506				1498	1524
1993	PL5509				14263	11577
1993	PL5529				1487	2577
1993	PL5564				46322	
1993	PL5593				9060	
1993	PL5605		98	73	260	189
1993	PL5610				3609	
1993	PL5657				2061	3025
1993	PL5665			733	7715	3115
1993	PL5683				42969	156860
1993	PL5685			173	6627	2201
1993	PL5689				18741	
1993	PL5690				64377	
1993	PL5709				15348	8352
1993	PL5715		1492	841	14355	2517
1993	PL5787		86	41	221	795
1993	PL5844		1665	739	12983	5090
1993	PL5860				7166	6423
1993	PL5867				28438	15350
1993	PL5885			1502	13147	19671
1993	PL5914				63717	84592
