id	dateofincorporation	nacerev1primarycode
PL11340	1991	9211
PL11345	1993	1551
PL11346	2000	1930
PL11350	1995	6420
PL11351		2211
PL11354	1996	7413
PL11355	1948	2932
PL1136	1897	1724
PL11366	1992	5139
PL11370	1989	5142
PL11374	1882	2821
PL11379	1968	3320
PL11381	1993	5142
PL11385		1561
PL11399	1992	2956
PL11402	1996	5112
PL11409	1995	5147
PL11410	1996	7011
PL11415	1991	5147
PL11424	1991	1551
PL11426	1993	6025
PL11428		2212
PL11433	1992	4521
PL11437	1952	2020
PL11440	1988	5170
PL11450	1952	2523
PL11461	1945	1822
PL11466	1979	2830
PL11468		7414
PL11473	1946	2924
PL11474	1996	1598
PL1149	1990	5211
PL11506	1992	6420
PL11509	1954	6120
PL11513	1991	7220
PL11517	1946	1910
PL11519	1968	4521
PL11522	1944	1533
PL11523	1988	7440
PL1153	1912	1754
PL11531	1974	2932
PL11532	1968	5170
PL11540	1992	6713
PL1155	1993	5170
PL11559	1997	5151
PL1157	1975	2211
PL11571	1944	1533
PL11573	1996	5010
PL11579	1972	1910
PL1158	1952	1533
PL11584	1844	1583
PL11585		1584
PL1159	1990	5170
PL11594	1880	2874
PL11595	1992	5164
PL11598	1965	1822
PL11600	1991	7460
PL11603	1992	2123
PL11609	1975	2010
PL11610	1989	2222
PL11618	1995	2213
PL11623	1996	6523
PL11630	1995	7240
PL11632	1991	5164
PL11633	1997	6713
PL11634	1951	3430
PL11635	1992	2211
PL11641	3/27/1991	7430
PL11642	1947	1561
PL11651	1973	1511
PL11653	1964	2430
PL11661	1997	6330
PL11663		3430
PL11666	1966	6025
PL11677	1946	3614
PL11678	1992	1532
PL11684	1990	5170
PL11687	1990	2212
PL11689	1996	5511
PL11697	1992	5010
PL11709		6521
PL1171	1921	2122
PL11711	1992	7440
PL11724	1994	5511
PL11726	1994	7414
PL1173	1902	5155
PL11737	1882	1722
PL11742	1991	6711
PL11745	1916	4010
PL11746	1994	4030
PL11753	1998	6420
PL11755	1993	2222
PL11758	1956	2640
PL11763	1992	3430
PL11764	1995	5248
PL11765	1996	7415
PL11766	1945	1711
PL11767	1991	1774
PL11781	1993	5248
PL11784	1943	2414
PL11786	1995	6420
PL11788	1996	7420
PL1179	1964	7420
PL11791	1951	1512
PL11792	1996	6521
PL11796	1994	5170
PL11803	1993	7250
PL11810	1991	5010
PL11822	1990	7414
PL11827	1948	4521
PL11831	1991	3410
PL11838	1942	1714
PL11846	1992	5134
PL11847	1992	5170
PL11850	1969	5511
PL11852	1923	6311
PL11854	1990	2123
PL1186	1989	2416
PL11860	1994	2430
PL11861	1991	6340
PL11863	1993	6420
PL11867	1993	2020
PL11873	1997	2020
PL11876	1990	2751
PL11883	1981	2451
PL11888	1996	1551
PL11892	1995	5244
PL11897	1975	1771
PL11904	1993	6521
PL11908	1997	2911
PL11915	1946	7020
PL11916	1946	2932
PL11917	1817	2912
PL1192	1989	5141
PL11921	1996	2121
PL11926	1996	7414
PL11929	1968	4532
PL11931	1996	1771
PL11933	1996	2411
PL11939	1995	4521
PL11940	1945	4521
PL11941	1996	7414
PL11943	1955	2811
PL11949	1990	1511
PL11955	1997	5170
PL11958	1992	2615
PL11977	1997	7420
PL11978		2670
PL11979	1995	7020
PL11985	1990	5170
PL11991	1996	5010
PL11993	1952	1810
PL11996	1997	6312
PL12011	1995	4521
PL12013	1984	5170
PL12014	1993	130
PL12015	1996	5248
PL12021	1998	2222
PL12024	1990	5170
PL12026	1960	2661
PL12031	1945	1725
PL12034		3161
PL12039	1994	2971
PL12050	1992	5010
PL12052	1974	2661
PL12055	1982	5138
PL12059	12/9/1994	1594
PL12067	1997	7414
PL12071	1996	6420
PL12076	1951	4521
PL12077	1996	4523
PL12078	1918	9240
PL1208	1950	1721
PL1209	1990	5170
PL12091	1872	2811
PL12094	1996	4521
PL12101	1993	5246
PL12102	1954	2430
PL12103	1990	5248
PL12106	1995	1596
PL12109	1996	7032
PL12113		5146
PL12119	1998	5146
PL12121	2000	7220
PL12123	1994	9220
PL12125	1992	4523
PL12128	1992	5170
PL12129	1997	6420
PL12130	1982	1930
PL12134	1982	3614
PL12137	1994	2030
PL1214	1805	1721
PL12147	1972	2940
PL12148	1994	2524
PL12155	1995	7220
PL12157	1995	7430
PL12158	1864	2954
PL12169	1998	2722
PL12176	1997	3161
PL12177	1926	2811
PL12179	1970	2524
PL12180	1990	6330
PL12185	1995	2612
PL12187	1993	6521
PL12188	1997	7011
PL1219	1990	5141
PL12201	1991	4521
PL12205	1971	7032
PL1221	1990	2653
PL12212	1997	6523
PL12213	1995	5119
PL12232	1968	1513
PL12241	1996	7020
PL12244	1975	1520
PL1225	1989	5170
PL12250	1993	6025
PL12251	1994	6420
PL12254	1993	7411
PL12255	1996	3530
PL12258	1855	2751
PL12262	1996	7020
PL12263	1991	1561
PL12277	1995	7020
PL12281	1990	1586
PL12283	1996	6523
PL12286	1997	5154
PL12289	1992	5170
PL12299	1970	1583
PL12302	1920	1551
PL12303	1958	7413
PL12313	1964	6025
PL12315	1992	7220
PL12319	1995	4521
PL12328	1997	5170
PL12330	1995	2662
PL12331	1930	2651
PL12344	1991	2521
PL12347	1995	5212
PL12352	1952	2952
PL12353	1994	5141
PL12356	1993	5153
PL12362	1995	7032
PL12363	1846	3520
PL12367		1598
PL12373	1993	5153
PL12376		7230
PL12377	1994	2524
PL12383	1996	2811
PL12384	1995	6021
PL12389	1998	6330
PL12391	1886	1712
PL12396	1996	6711
PL12402	1991	2211
PL12406		6523
PL12417	1992	2971
PL1242	1941	3614
PL12420		5248
PL12421	1996	1450
PL12423	1888	1596
PL12426	1995	3614
PL1243	1968	6312
PL12431	1807	1721
PL12432	1996	7420
PL12440	1947	1422
PL12442		5211
PL12444	1998	6523
PL1245	1986	5119
PL12455	12/21/1992	2213
PL1246	1992	2940
PL12460	1920	3542
PL12461	1993	5010
PL12472	1961	2956
PL12476	1993	112
PL12479	1991	1421
PL12481	1993	4030
PL12484	1998	2511
PL12501	1998	3614
PL12504	1997	7032
PL12506	1997	7240
PL12507	1994	6420
PL12509	1950	124
PL12513	1997	9000
PL1252		8030
PL12522	1951	2640
PL12527	1946	2751
PL12529	1883	2924
PL12542	1984	3612
PL12554	1990	6420
PL12556	1998	7420
PL1256	1827	1721
PL12587	1997	1583
PL12596	1953	1589
PL12597	1997	6420
PL1260	1992	5162
PL12603	1998	2630
PL12605	1998	5170
PL12610	1994	2523
PL12613	1951	3663
PL12616	1998	6523
PL12618	1951	2441
PL12621	1995	2414
PL12626	1989	2960
PL12642	1993	1561
PL12650	1958	1532
PL12659	1997	4010
PL12663	1993	2923
PL12665	1952	2923
PL12675	1998	7511
PL12676	1999	6523
PL12677	1998	7530
PL12706	1998	2822
PL12708	1950	9000
PL12710	1996	6420
PL12711		2466
PL12712	1945	2613
PL1272	1990	5010
PL12724	1998	4521
PL12726	1992	1533
PL12729	1997	5146
PL12730	1993	2871
PL12738	1997	7414
PL12752	1994	6720
PL12754	1999	2442
PL12758	1997	6521
PL12761	1995	6330
PL12776	1995	5155
PL12777	1989	1752
PL12796	1991	6025
PL12799	1999	5142
PL1281	1884	3614
PL12818	1999	5134
PL12833		2320
PL12843	1997	1532
PL12846	1996	2212
PL12848	1993	1930
PL1285	1989	1822
PL12854	1998	7414
PL12864	1997	2682
PL1287	1990	2811
PL12875	1998	6323
PL12876	1999	4010
PL12885	1924	1715
PL12889	1998	2612
PL12894	1997	7220
PL1290	1820	1712
PL12901	1998	2872
PL12908	1992	1930
PL12924		1010
PL12939	1997	3210
PL12941	1996	3430
PL12946	1995	5165
PL1296	1997	2222
PL12968	1992	7210
PL12969	1999	6420
PL12978	1989	6025
PL12992		6021
PL13008	1998	7260
PL13024	1999	9220
PL13030	1996	1582
PL13046	1997	5151
PL1305	1951	7310
PL1308	1990	2112
PL13080	1996	2875
PL13084	2000	4010
PL13088	1995	2664
PL1309	1982	2222
PL13093	2000	3410
PL13096	1996	5030
PL13098	1884	1551
PL13107	1999	2310
PL1311	12/18/1990	5170
PL13112	1989	3614
PL1312	1978	2222
PL13122	1992	5151
PL13123	1999	7121
PL13126	2000	5119
PL1313	1895	2873
PL13134	1998	5139
PL13139	1997	2651
PL13142	1997	2971
PL13156	1998	5153
PL13172	1999	7414
PL13173	1999	6420
PL13174	1996	7220
PL13177	1997	7220
PL13193	2000	5134
PL13204	1998	5170
PL13209	1997	5170
PL13239	1998	4030
PL1325	1946	5211
PL13258	1999	2630
PL13260	2000	7210
PL1327	1949	1721
PL13275		2611
PL13281	1994	3430
PL13285	1996	2330
PL13295	2000	6523
PL13301	1998	5151
PL13337	2000	9220
PL13351	1996	6420
PL1338	1990	5170
PL13384	1988	7220
PL13385	2000	7414
PL13392	1975	2612
PL1340	1951	2956
PL1347	1986	2030
PL1352	1996	5170
PL1358	1899	1930
PL1361	1971	5170
PL1364	1991	1823
PL1376	1949	701
PL1379	1945	3340
PL1387	1948	3120
PL1388	1975	1721
PL1398		2112
PL1408	1951	3614
PL1412	1977	3663
PL1421	1992	1930
PL1422	1984	2452
PL1424	1883	2466
PL1436	1991	6025
PL1438	1928	2124
PL1448	1937	6330
PL1450	1990	7420
PL1452	1987	5153
PL1463	1972	2710
PL1467	1924	2613
PL1477	1875	2521
PL1487	1995	1722
PL1491	1938	2430
PL1502	1991	5030
PL1507	1991	2442
PL1509	1946	2442
PL1510	1989	5170
PL1528	1851	1584
PL1534	1958	3150
PL1537	1954	4533
PL1538	1928	3530
PL1551	1957	2211
PL1556		5144
PL1562	1989	6312
PL1566	1951	2470
PL1574	1872	1596
PL1575	1933	1724
PL1577	1948	2414
PL1580	1994	2020
PL1582	1945	5152
PL1588	1973	2651
PL1593	1951	1600
PL1596	1990	5170
PL1600	1894	2112
PL16001	1992	2521
PL16003	1993	2875
PL16004	1950	2932
PL16006	1968	2875
PL16008	1945	5153
PL16010	1992	5165
PL16013	1990	7032
PL16019	1991	5153
PL16020	1986	5152
PL16021	1992	6711
PL16022	1993	2640
PL16023	1992	5157
PL16025	1994	5153
PL16027	1976	5152
PL16028	1994	7414
PL16030	1993	5170
PL16031		5166
PL16033	1978	124
PL16035	1989	5170
PL16037	1992	4521
PL16038	1990	4523
PL16041	1992	4521
PL16042	1989	5170
PL16046	1991	5146
PL16047	1911	141
PL1605		1772
PL16050	1994	6025
PL1606	1969	1712
PL16069	1992	5154
PL1607	1945	2430
PL16071	1991	2413
PL16072	1991	5020
PL16075	1990	5138
PL16079	1994	2122
PL1608	1989	5170
PL16083	1992	1010
PL16085	1993	4100
PL16086	1952	4523
PL16087	1990	5146
PL16088	1991	3162
PL16090	1993	6111
PL16091	1988	5551
PL16092	1994	5010
PL16093	1945	1823
PL16099	1992	3210
PL16100	1993	5170
PL16101	1991	5153
PL16105	1993	5152
PL16108	1993	2871
PL16113	1990	5170
PL16115	1990	4521
PL1612	1881	1751
PL16120	1991	2830
PL16121	1994	5211
PL16123	1976	5153
PL16124	1987	5164
PL16129	1993	5152
PL16130	1992	6523
PL16132	1993	2951
PL16133	1991	5010
PL16134	1980	4533
PL16136	1993	5154
PL16137	1994	7011
PL1614	1990	3110
PL16148	1992	5165
PL1615	1990	3110
PL16151	1991	5170
PL16152	1992	4521
PL16156	1988	4521
PL16158	1991	6025
PL16160	1992	2222
PL16164	1991	2811
PL16167	1945	5152
PL16168	1981	5170
PL16172	1991	5212
PL16176	1990	5154
PL16180	1992	6340
PL16186	1993	3614
PL16188	1894	2112
PL16191	1975	1551
PL16198	1992	7440
PL16199	1991	7440
PL1620	1953	2121
PL16205	1993	9220
PL16206	1992	5170
PL1621	1990	7020
PL16210	1993	4521
PL16212	1993	4521
PL16215	1995	2452
PL16216		5166
PL16217	1949	5166
PL16218	1953	5166
PL16219	1950	2931
PL16220	1991	6312
PL16221	1990	5010
PL16223	1994	5010
PL16226	1992	2442
PL16227	1991	7440
PL16229	1954	5152
PL16230	1982	5170
PL16232	1991	6330
PL16233	1949	7420
PL16234	1992	5121
PL16235	1949	7420
PL16236	1990	5152
PL16238	1991	5155
PL16240	1957	1421
PL16241	1948	4521
PL16243	1993	6021
PL16245	1993	7032
PL16246	1948	2523
PL16248	1992	4521
PL16249	1992	2211
PL16252	1992	1581
PL16253	1945	2940
PL16255	1993	6021
PL16256	1993	4100
PL16257	1979	4521
PL16258		9000
PL16259	1946	9220
PL1626	1990	2923
PL16260	1927	9220
PL16261	1953	9220
PL16262	1991	4521
PL16263	1993	9220
PL16264	1990	9220
PL16265	1991	1421
PL16267	1991	2521
PL16268	1990	7020
PL16269	1993	4525
PL16270	1984	2822
PL16272	1984	1752
PL16273	1991	5151
PL16276	1981	5170
PL16277	1990	1823
PL16278	1989	5144
PL16280	1987	2811
PL16281	1981	2430
PL16283	1982	3310
PL16285	1992	4521
PL1629	1990	1551
PL16292	1991	2913
PL16296	1988	5170
PL16299	1993	6712
PL1630	1989	6025
PL16302	1993	4100
PL16303	1991	5170
PL16304	1991	6025
PL16306	1989	4533
PL16310	1994	1533
PL16312	1988	4521
PL16314	1993	4030
PL16315	1990	4521
PL16316	1953	9220
PL16317	1995	9220
PL16320	1982	6111
PL16321	1993	6025
PL16325	1947	4532
PL16326	1992	2513
PL16329	1993	5153
PL16330	1994	4521
PL16331	1995	5153
PL16332	1991	4525
PL16334	1989	5010
PL16338	1988	5170
PL16342		5166
PL16343	1992	130
PL16349	1948	5121
PL16350	1827	1583
PL16352	1992	5244
PL16353		2211
PL16357	1988	3330
PL16358	1992	3120
PL16359	1992	5143
PL16361	1994	4030
PL16362	1991	3120
PL16363	1993	130
PL16364	1990	4533
PL16365	1993	2851
PL1637	1991	1721
PL16370	1989	4521
PL16373	1994	4524
PL16374	1992	2811
PL16375	1901	4100
PL16376	1992	4100
PL16377	1952	2812
PL16380	1922	2960
PL16381	1991	2661
PL16382	1993	6420
PL16383		7420
PL16384	1992	2521
PL16386	1988	5170
PL16387	1972	6330
PL16388	1992	4521
PL16389	1952	9220
PL16391	1993	9220
PL16394	1945	5131
PL16395	1993	5211
PL16397	1946	1584
PL16399	1994	7032
PL16400	1993	7414
PL16401	1991	6025
PL16402	1994	5030
PL16403	1990	3130
PL16404	1993	5152
PL16408	1993	2522
PL16411	1989	1412
PL16414	1990	1754
PL16416	1969	2914
PL16417	1946	2411
PL16418	1993	6330
PL16420	1990	7210
PL16422		5170
PL16423	1993	3614
PL16424	1961	7220
PL16425	1994	6311
PL16426	1993	6711
PL16428	1992	4030
PL16430	1991	6322
PL16431	1953	4525
PL16432	1992	5170
PL16433		4100
PL16435	1992	2911
PL16437	1992	4100
PL16438	1974	4521
PL16440	1991	5050
PL16441	1951	4525
PL16442	1994	6340
PL16443	1992	9000
PL16444	1993	9220
PL16445		1589
PL16447	1990	2030
PL16450	1989	5170
PL16451	1990	2123
PL16454	1991	2873
PL16459	1975	5154
PL16460	1991	4521
PL16461	1992	2956
PL16462	1993	1561
PL16463	1951	5166
PL16464	1990	5211
PL16466	1992	6720
PL16467	1993	1571
PL16469		5170
PL16470	1994	2222
PL16471	1991	1561
PL16475	1954	2615
PL16476	1992	5551
PL16477	1990	2812
PL16478	1994	4521
PL16481	1916	3320
PL16482	1995	9231
PL16483	1993	2924
PL16484	1914	2415
PL16486	1992	4100
PL16487	1958	2922
PL16490	1987	5170
PL16491	1990	2722
PL16492	1990	2875
PL16493	1957	2661
PL16494	1993	6025
PL16495	1927	9220
PL16502	1990	2522
PL16503	1989	7414
PL16506	1994	2710
PL16507	1993	4521
PL16509	1993	5010
PL16511	1990	3420
PL16513	1991	2030
PL16514	1990	2513
PL16515	1914	2020
PL16516	1992	5146
PL16517		7420
PL16518	1951	1821
PL16520	1992	5134
PL16528	1954	3220
PL16530	1945	3613
PL16535	1993	7032
PL16537	1949	7420
PL16538	1989	1594
PL16539	1994	4010
PL16541	1993	3430
PL16542	1993	5156
PL16543	1993	2873
PL16544	1993	4010
PL16545	1824	3162
PL16546	1967	1421
PL16548	1993	4532
PL16549	1991	4525
PL16550		2212
PL16551	1991	6021
PL16552	1993	5170
PL16555	1990	7020
PL16556	1989	5135
PL16557	1993	5170
PL16559	1988	6720
PL16577	1996	6321
PL16578	1953	6321
PL16579	1945	3110
PL16580	1990	5154
PL16581	1858	2222
PL16582	1991	2932
PL16584	1992	1513
PL16585	1996	5170
PL16586	1995	5170
PL16587	1996	3410
PL16588	1987	4521
PL16590	1992	8042
PL16591	1995	7412
PL16592	1994	7414
PL16593	1994	5138
PL16594	1993	5248
PL16595	1991	5170
PL16596	1990	7412
PL16597	1991	7412
PL16598	1994	2524
PL16599	1991	1712
PL16601	1993	5152
PL16602	1988	4521
